message_id,action,message_type,reason,confidence,evidence_message_ids
msg_023,mute,scam,"The message uses scam, phishing, suspicious verification, or fake-support language and should be suppressed.",0.95,message_0243;message_0263;message_0102
msg_091,mute,scam,"The message uses scam, phishing, suspicious verification, or fake-support language and should be suppressed.",0.95,message_0238;message_0320;message_0381
msg_090,digest,unknown,"The message is useful but not urgent, risky, or clearly unwanted.",0.72,message_0339;message_0338;message_0023
msg_048,mute,scam,"The message uses scam, phishing, suspicious verification, or fake-support language and should be suppressed.",0.95,message_0151;message_0152;message_0237
msg_040,mute,promotion,The message looks like repeated unwanted promotional or forwarded content.,0.82,message_0136;message_0241;message_0078
msg_075,notify,personal,The sender makes a direct request for action or response that appears important.,0.84,message_0206;message_0205;message_0294
msg_005,notify,urgent,The message contains an urgent time-sensitive request that should interrupt the user.,0.88,message_0065;message_0049;message_0224
msg_104,digest,unknown,"The message is useful but not urgent, risky, or clearly unwanted.",0.72,message_0224;message_0383;message_0065
msg_069,digest,unknown,"The message is useful but not urgent, risky, or clearly unwanted.",0.72,message_0177;message_0193;message_0042
msg_107,mute,scam,"The message uses scam, phishing, suspicious verification, or fake-support language and should be suppressed.",0.95,message_0056;message_0195;message_0213
msg_070,mute,scam,"The message uses scam, phishing, suspicious verification, or fake-support language and should be suppressed.",0.95,message_0369;message_0195;message_0213
msg_003,notify,urgent,The message contains an urgent time-sensitive request that should interrupt the user.,0.88,message_0031;message_0400;message_0004
msg_099,digest,unknown,"The message is useful but not urgent, risky, or clearly unwanted.",0.72,message_0227;message_0249;message_0055
msg_008,digest,unknown,"The message is useful but not urgent, risky, or clearly unwanted.",0.72,message_0296;message_0072;message_0071
msg_092,mute,scam,"The message uses scam, phishing, suspicious verification, or fake-support language and should be suppressed.",0.95,message_0346;message_0344;message_0345
msg_060,notify,event,The message contains an important update or deadline-related information.,0.88,message_0284;message_0176;message_0082
msg_004,mute,scam,"The message uses scam, phishing, suspicious verification, or fake-support language and should be suppressed.",0.95,message_0005;message_0245;message_0246
msg_030,digest,unknown,"The message is useful but not urgent, risky, or clearly unwanted.",0.72,message_0115;message_0113;message_0095
msg_045,mute,scam,"The message uses scam, phishing, suspicious verification, or fake-support language and should be suppressed.",0.95,message_0027;message_0061;message_0378
msg_052,notify,urgent,The message contains an urgent time-sensitive request that should interrupt the user.,0.88,message_0208;message_0207;message_0159
msg_009,digest,unknown,"The message is useful but not urgent, risky, or clearly unwanted.",0.72,message_0074;message_0343;message_0073
msg_071,mute,scam,"The message uses scam, phishing, suspicious verification, or fake-support language and should be suppressed.",0.95,message_0197;message_0198;message_0046
msg_016,mute,scam,"The message uses scam, phishing, suspicious verification, or fake-support language and should be suppressed.",0.95,message_0024;message_0023;message_0045
msg_065,mute,promotion,The message looks like repeated unwanted promotional or forwarded content.,0.82,message_0261;message_0260;message_0351
msg_038,mute,scam,"The message uses scam, phishing, suspicious verification, or fake-support language and should be suppressed.",0.95,message_0131;message_0132;message_0079
msg_086,digest,unknown,"The message is useful but not urgent, risky, or clearly unwanted.",0.72,message_0222;message_0006;message_0036
msg_014,mute,promotion,The message looks like repeated unwanted promotional or forwarded content.,0.82,message_0017;message_0018;message_0258
msg_094,notify,urgent,The message contains an urgent time-sensitive request that should interrupt the user.,0.88,message_0356;message_0048;message_0357
msg_029,digest,unknown,"The message is useful but not urgent, risky, or clearly unwanted.",0.72,message_0113;message_0095;message_0115
msg_105,digest,unknown,"The message is useful but not urgent, risky, or clearly unwanted.",0.72,message_0233;message_0373;message_0079
msg_002,notify,personal,The sender makes a direct request for action or response that appears important.,0.84,message_0003;message_0059;message_0169
msg_010,digest,unknown,"The message is useful but not urgent, risky, or clearly unwanted.",0.72,message_0011;message_0242;message_0311
msg_078,mute,scam,"The message uses scam, phishing, suspicious verification, or fake-support language and should be suppressed.",0.95,message_0211;message_0212;message_0220
msg_013,mute,scam,"The message uses scam, phishing, suspicious verification, or fake-support language and should be suppressed.",0.95,message_0114;message_0116;message_0019
msg_018,mute,scam,"The message uses scam, phishing, suspicious verification, or fake-support language and should be suppressed.",0.95,message_0026;message_0091;message_0092
msg_044,mute,scam,"The message uses scam, phishing, suspicious verification, or fake-support language and should be suppressed.",0.95,message_0143;message_0085;message_0089
msg_032,digest,unknown,"The message is useful but not urgent, risky, or clearly unwanted.",0.72,message_0119;message_0285;message_0374
msg_106,notify,urgent,The message contains an urgent time-sensitive request that should interrupt the user.,0.88,message_0234;message_0376;message_0293
msg_006,notify,urgent,The message contains an urgent time-sensitive request that should interrupt the user.,0.88,message_0067;message_0097;message_0029
msg_109,digest,unknown,"The message is useful but not urgent, risky, or clearly unwanted.",0.72,message_0151;message_0150;message_0152
msg_108,mute,scam,"The message uses scam, phishing, suspicious verification, or fake-support language and should be suppressed.",0.95,message_0094;message_0093;message_0277
msg_019,mute,scam,"The message uses scam, phishing, suspicious verification, or fake-support language and should be suppressed.",0.95,message_0277;message_0275;message_0276
msg_088,digest,unknown,"The message is useful but not urgent, risky, or clearly unwanted.",0.72,message_0050;message_0115;message_0116
msg_056,mute,scam,"The message uses scam, phishing, suspicious verification, or fake-support language and should be suppressed.",0.95,message_0226;message_0168;message_0217
msg_027,digest,unknown,"The message is useful but not urgent, risky, or clearly unwanted.",0.72,message_0007;message_0033;message_0272
msg_050,mute,scam,"The message uses scam, phishing, suspicious verification, or fake-support language and should be suppressed.",0.95,message_0279;message_0278;message_0246
msg_083,digest,unknown,"The message is useful but not urgent, risky, or clearly unwanted.",0.72,message_0219;message_0003;message_0041
msg_063,mute,scam,"The message uses scam, phishing, suspicious verification, or fake-support language and should be suppressed.",0.95,message_0181;message_0182;message_0364
msg_033,mute,scam,"The message uses scam, phishing, suspicious verification, or fake-support language and should be suppressed.",0.95,message_0121;message_0046;message_0122
msg_061,digest,unknown,"The message is useful but not urgent, risky, or clearly unwanted.",0.72,message_0177;message_0193;message_0042
msg_020,mute,scam,"The message uses scam, phishing, suspicious verification, or fake-support language and should be suppressed.",0.95,message_0096;message_0095;message_0025
msg_017,notify,urgent,The message contains an urgent time-sensitive request that should interrupt the user.,0.88,message_0025;message_0089;message_0090
msg_058,digest,unknown,"The message is useful but not urgent, risky, or clearly unwanted.",0.72,message_0039;message_0040;message_0241
msg_026,mute,scam,"The message uses scam, phishing, suspicious verification, or fake-support language and should be suppressed.",0.95,message_0032;message_0028;message_0107
msg_047,notify,urgent,The message contains an urgent time-sensitive request that should interrupt the user.,0.88,message_0001;message_0149;message_0068
msg_046,mute,scam,"The message uses scam, phishing, suspicious verification, or fake-support language and should be suppressed.",0.95,message_0148;message_0147;message_0166
msg_042,mute,scam,"The message uses scam, phishing, suspicious verification, or fake-support language and should be suppressed.",0.95,message_0140;message_0058;message_0150
msg_079,mute,scam,"The message uses scam, phishing, suspicious verification, or fake-support language and should be suppressed.",0.95,message_0369;message_0023;message_0045
msg_098,digest,unknown,"The message is useful but not urgent, risky, or clearly unwanted.",0.72,message_0226;message_0367;message_0359
msg_037,digest,unknown,"The message is useful but not urgent, risky, or clearly unwanted.",0.72,message_0001;message_0029;message_0030
msg_007,digest,unknown,"The message is useful but not urgent, risky, or clearly unwanted.",0.72,message_0008;message_0070;message_0069
msg_085,digest,unknown,"The message is useful but not urgent, risky, or clearly unwanted.",0.72,message_0221;message_0023;message_0045
msg_001,digest,unknown,"The message is useful but not urgent, risky, or clearly unwanted.",0.72,message_0057;message_0240;message_0139
msg_021,mute,scam,"The message uses scam, phishing, suspicious verification, or fake-support language and should be suppressed.",0.95,message_0068;message_0098;message_0001
msg_028,mute,promotion,The message looks like repeated unwanted promotional or forwarded content.,0.82,message_0034;message_0314;message_0007
